Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,99.110001,99.139999,97.930000,98.110001,95.336479,8572900
2017-07-21,99.599998,100.489998,99.089996,99.599998,96.784363,17400200
2017-07-24,99.550003,100.419998,99.139999,100.370003,97.532600,9186000
2017-07-25,100.650002,100.849998,99.800003,99.989998,97.163330,6774900
2017-07-26,100.010002,100.989998,99.860001,100.849998,97.999023,7205400
2017-07-27,100.970001,101.180000,98.550003,99.570000,96.755211,10543900
2017-07-28,99.120003,99.589996,98.510002,99.150002,96.347084,6558800
2017-07-31,99.500000,100.000000,99.139999,99.559998,96.745491,7576600
2017-08-01,100.360001,101.070000,99.959999,100.870003,98.018463,6018100
2017-08-02,101.029999,101.279999,100.239998,101.279999,98.416870,5955600
2017-08-03,100.940002,101.099998,100.330002,100.589996,97.746353,5697500
2017-08-04,100.959999,101.339996,100.610001,100.889999,98.037888,4618000
2017-08-07,100.919998,101.540001,100.589996,101.489998,98.620918,7047100
2017-08-08,101.500000,101.720001,100.930000,101.279999,98.416870,6283700
2017-08-09,100.760002,101.300003,100.599998,100.970001,98.115616,6902100
2017-08-10,100.540001,100.879997,99.430000,99.489998,96.677483,8560800
2017-08-11,99.550003,100.300003,99.529999,100.089996,97.260498,5268200
2017-08-14,100.980003,102.110001,100.750000,101.870003,98.990181,5657600
2017-08-15,102.360001,102.779999,101.970001,102.629997,99.728683,5386000
2017-08-16,102.760002,103.930000,102.639999,103.320000,100.560860,13408300
2017-08-17,103.330002,103.529999,102.160004,102.160004,99.431847,7381600
2017-08-18,102.080002,103.089996,101.940002,102.510002,99.772499,5670900
2017-08-21,102.620003,103.349998,102.330002,103.220001,100.463554,5395000
2017-08-22,103.440002,104.199997,103.139999,104.070000,101.290855,5481000
2017-08-23,103.769997,103.970001,102.989998,103.180000,100.424606,5057200
2017-08-24,103.320000,103.500000,102.639999,103.220001,100.463554,4082300
2017-08-25,103.650002,103.879997,103.160004,103.349998,100.590057,4467400
2017-08-28,103.650002,103.830002,103.260002,103.779999,101.008591,3919900
2017-08-29,102.919998,104.070000,102.639999,103.769997,100.998863,7135300
2017-08-30,103.699997,104.000000,103.519997,103.730003,100.959938,8712700
2017-08-31,104.059998,104.190002,103.029999,103.519997,100.755539,13766000
2017-09-01,104.040001,104.080002,103.440002,103.900002,101.125389,4466800
2017-09-05,103.400002,103.459999,102.260002,103.010002,100.259140,6337500
2017-09-06,103.339996,103.750000,103.099998,103.180000,100.424606,6372200
2017-09-07,103.709999,105.440002,103.610001,104.559998,101.767761,6508600
2017-09-08,104.330002,104.769997,104.059998,104.430000,101.641220,5787200
2017-09-11,105.480003,106.150002,105.150002,106.150002,103.315300,6956000
2017-09-12,106.639999,106.639999,105.760002,106.209999,103.373695,5212400
2017-09-13,106.260002,106.260002,105.239998,105.830002,103.003838,6215700
2017-09-14,105.500000,106.839996,105.500000,106.080002,103.247154,8154000
2017-09-15,105.739998,106.139999,104.949997,105.300003,102.488014,12622900
2017-09-18,105.349998,105.519997,104.620003,104.830002,102.030533,7330300
2017-09-19,105.129997,105.930000,104.830002,105.410004,102.595062,9754400
2017-09-20,105.500000,105.769997,104.459999,104.970001,102.166809,8198600
2017-09-21,105.000000,105.610001,104.650002,105.309998,102.497734,4777600
2017-09-22,105.209999,105.680000,105.059998,105.559998,102.741051,4959400
2017-09-25,105.500000,105.650002,102.750000,103.019997,100.268883,9395300
2017-09-26,103.110001,104.019997,102.879997,102.940002,100.191032,6263600
2017-09-27,103.070000,104.120003,102.900002,103.889999,101.115639,8337400
2017-09-28,103.750000,104.980003,103.739998,104.580002,101.787209,5947800
2017-09-29,104.750000,105.430000,104.690002,105.239998,102.429581,7676300
